
; Version LPG-td-1.4
; Seed 70274737
; Command line: ./planners/lpg-td -o src/ex1/domain.pddl -f src/ex1/problem3.pddl -n 1 -out results-lpg-3.txt 
; Problem src/ex1/problem3.pddl
; Actions having STRIPS duration
; Time 631.05
; Search time 630.83
; Parsing time 0.06
; Mutex time 0.16
; NrActions 125

0:   (COGER-PILA MUELLE2 GRUA2 PILA5 CONTENEDOR7 ALTURA_MUELLE2_2 CONTENEDOR6 ALTURA_MUELLE2_1) [1]
1:   (DEJAR-BLANCO-PILA MUELLE2 GRUA2 PILA4 CONTENEDOR7 ALTURA_MUELLE2_1 CONTENEDOR5 ALTURA_MUELLE2_2) [1]
2:   (COGER-PILA MUELLE2 GRUA2 PILA5 CONTENEDOR6 ALTURA_MUELLE2_1 PILA5 ALTURA_MUELLE2_0) [1]
3:   (DEJAR-CINTA CINTA2 MUELLE2 MUELLE1 GRUA2 CONTENEDOR6) [1]
4:   (COGER-CINTA CINTA2 MUELLE2 MUELLE1 GRUA1 CONTENEDOR6) [1]
4:   (COGER-PILA MUELLE2 GRUA2 PILA7 CONTENEDOR13 ALTURA_MUELLE2_3 CONTENEDOR12 ALTURA_MUELLE2_2) [1]
5:   (DEJAR-BLANCO-PILA MUELLE2 GRUA2 PILA7 CONTENEDOR13 ALTURA_MUELLE2_2 CONTENEDOR12 ALTURA_MUELLE2_3) [1]
5:   (DEJAR-CINTA CINTA1 MUELLE1 MUELLE2 GRUA1 CONTENEDOR6) [1]
6:   (COGER-PILA MUELLE2 GRUA2 PILA7 CONTENEDOR13 ALTURA_MUELLE2_3 CONTENEDOR12 ALTURA_MUELLE2_2) [1]
6:   (COGER-PILA MUELLE1 GRUA1 PILA1 CONTENEDOR2 ALTURA_MUELLE1_2 CONTENEDOR1 ALTURA_MUELLE1_1) [1]
7:   (DEJAR-BLANCO-PILA MUELLE2 GRUA2 PILA7 CONTENEDOR13 ALTURA_MUELLE2_2 CONTENEDOR12 ALTURA_MUELLE2_3) [1]
7:   (DEJAR-BLANCO-PILA MUELLE1 GRUA1 PILA2 CONTENEDOR2 ALTURA_MUELLE1_1 CONTENEDOR4 ALTURA_MUELLE1_2) [1]
8:   (COGER-PILA MUELLE2 GRUA2 PILA7 CONTENEDOR13 ALTURA_MUELLE2_3 CONTENEDOR12 ALTURA_MUELLE2_2) [1]
9:   (DEJAR-BLANCO-PILA MUELLE2 GRUA2 PILA7 CONTENEDOR13 ALTURA_MUELLE2_2 CONTENEDOR12 ALTURA_MUELLE2_3) [1]
10:   (COGER-PILA MUELLE2 GRUA2 PILA7 CONTENEDOR13 ALTURA_MUELLE2_3 CONTENEDOR12 ALTURA_MUELLE2_2) [1]
11:   (DEJAR-BLANCO-PILA MUELLE2 GRUA2 PILA7 CONTENEDOR13 ALTURA_MUELLE2_2 CONTENEDOR12 ALTURA_MUELLE2_3) [1]
12:   (COGER-PILA MUELLE2 GRUA2 PILA7 CONTENEDOR13 ALTURA_MUELLE2_3 CONTENEDOR12 ALTURA_MUELLE2_2) [1]
